Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingPosition
2021,Portuguese Grand Prix,Algarve International Circuit,RAI,Alfa Romeo,11.0,SOFT,2.0,1,1.0174,15
2021,Portuguese Grand Prix,Algarve International Circuit,RIC,McLaren,16.0,SOFT,4.0,1,1.0073,16
2021,Portuguese Grand Prix,Algarve International Circuit,STR,Aston Martin,9.0,SOFT,2.0,1,1.0074,17
2021,Portuguese Grand Prix,Algarve International Circuit,LAT,Williams,13.0,SOFT,4.0,1,1.0253,18
2021,Portuguese Grand Prix,Algarve International Circuit,MSC,Haas F1 Team,11.0,SOFT,3.0,1,1.0213,19
2021,Portuguese Grand Prix,Algarve International Circuit,MAZ,Haas F1 Team,9.0,SOFT,2.0,1,1.0351,20
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAM,Mercedes,9.0,SOFT,2.0,1,1.0,1
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VER,Red Bull Racing,6.0,MEDIUM,6.0,1,1.0079,2
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,BOT,Mercedes,8.0,SOFT,2.0,1,1.0018,3
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LEC,Ferrari,8.0,SOFT,2.0,1,1.0021,4
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,OCO,Alpine,9.0,SOFT,2.0,1,1.0038,5
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RIC,McLaren,13.0,SOFT,2.0,1,1.0131,6
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,SAI,Ferrari,9.0,SOFT,2.0,1,1.0064,7
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,PER,Red Bull Racing,10.0,SOFT,2.0,1,1.0096,8
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,STR,Aston Martin,8.0,SOFT,2.0,1,1.0123,9
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0054,10
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,NOR,McLaren,7.0,SOFT,2.0,1,1.0118,11
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VET,Aston Martin,7.0,SOFT,2.0,1,1.0099,12
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,ALO,Alpine,10.0,SOFT,2.0,1,1.0045,13
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GIO,Alfa Romeo,12.0,SOFT,2.0,1,1.0122,14
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,TSU,AlphaTauri,13.0,SOFT,5.0,1,1.0057,15
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RAI,Alfa Romeo,12.0,SOFT,2.0,1,1.0133,16
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MSC,Haas F1 Team,13.0,SOFT,6.0,1,1.0276,17
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RUS,Williams,11.0,SOFT,2.0,1,1.0229,18
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LAT,Williams,11.0,SOFT,4.0,1,1.024,19
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MAZ,Haas F1 Team,10.0,SOFT,2.0,1,1.033,20
2021,Monaco Grand Prix,Circuit de Monaco,LEC,Ferrari,23.0,SOFT,7.0,1,1.0,1
2021,Monaco Grand Prix,Circuit de Monaco,VER,Red Bull Racing,15.0,SOFT,3.0,1,1.0055,2
2021,Monaco Grand Prix,Circuit de Monaco,BOT,Mercedes,15.0,SOFT,4.0,1,1.0059,3
2021,Monaco Grand Prix,Circuit de Monaco,SAI,Ferrari,18.0,SOFT,3.0,1,1.0016,4
2021,Monaco Grand Prix,Circuit de Monaco,NOR,McLaren,14.0,SOFT,3.0,1,1.0097,5
2021,Monaco Grand Prix,Circuit de Monaco,GAS,AlphaTauri,18.0,SOFT,9.0,1,1.0114,6
2021,Monaco Grand Prix,Circuit de Monaco,HAM,Mercedes,21.0,SOFT,9.0,1,1.0054,7
2021,Monaco Grand Prix,Circuit de Monaco,VET,Aston Martin,15.0,SOFT,4.0,1,1.0181,8
2021,Monaco Grand Prix,Circuit de Monaco,OCO,Alpine,13.0,SOFT,4.0,1,1.0211,9
2021,Monaco Grand Prix,Circuit de Monaco,PER,Red Bull Racing,19.0,SOFT,8.0,1,1.0143,10
2021,Monaco Grand Prix,Circuit de Monaco,RIC,McLaren,22.0,SOFT,10.0,1,1.0219,11
2021,Monaco Grand Prix,Circuit de Monaco,STR,Aston Martin,16.0,SOFT,4.0,1,1.0211,12
2021,Monaco Grand Prix,Circuit de Monaco,RAI,Alfa Romeo,20.0,SOFT,9.0,1,1.0193,13
2021,Monaco Grand Prix,Circuit de Monaco,GIO,Alfa Romeo,14.0,SOFT,4.0,1,1.0148,14
2021,Monaco Grand Prix,Circuit de Monaco,RUS,Williams,20.0,SOFT,13.0,1,1.0255,15
2021,Monaco Grand Prix,Circuit de Monaco,TSU,AlphaTauri,9.0,MEDIUM,9.0,1,1.0439,16
2021,Monaco Grand Prix,Circuit de Monaco,ALO,Alpine,17.0,SOFT,6.0,1,1.0208,17
2021,Monaco Grand Prix,Circuit de Monaco,LAT,Williams,17.0,SOFT,9.0,1,1.0266,18
2021,Monaco Grand Prix,Circuit de Monaco,MAZ,Haas F1 Team,17.0,SOFT,7.0,1,1.038,19
2021,Azerbaijan Grand Prix,Baku City Circuit,LEC,Ferrari,8.0,SOFT,2.0,1,1.0031,1
2021,Azerbaijan Grand Prix,Baku City Circuit,HAM,Mercedes,11.0,SOFT,5.0,2,1.0102,2
2021,Azerbaijan Grand Prix,Baku City Circuit,GAS,AlphaTauri,11.0,SOFT,4.0,2,1.0041,3
2021,Azerbaijan Grand Prix,Baku City Circuit,VER,Red Bull Racing,10.0,SOFT,4.0,2,1.001,4
2021,Azerbaijan Grand Prix,Baku City Circuit,SAI,Ferrari,8.0,SOFT,2.0,1,1.0013,5
2021,Azerbaijan Grand Prix,Baku City Circuit,NOR,McLaren,8.0,SOFT,2.0,1,1.0088,6
2021,Azerbaijan Grand Prix,Baku City Circuit,PER,Red Bull Racing,10.0,SOFT,4.0,2,1.0,7
2021,Azerbaijan Grand Prix,Baku City Circuit,TSU,AlphaTauri,13.0,SOFT,7.0,2,1.0099,8
2021,Azerbaijan Grand Prix,Baku City Circuit,VET,Aston Martin,12.0,SOFT,6.0,1,1.0173,9
