Year,Race,Track,Driver,Team,LapNumber,Compound,TyreLife,TrackStatus,PracticeLapTimeDelta,QualifyingLapTimeDelta
2021,Portuguese Grand Prix,Algarve International Circuit,PER,Red Bull Racing,15.0,SOFT,5.0,1,1.0085,1.0069
2021,Portuguese Grand Prix,Algarve International Circuit,GAS,AlphaTauri,17.0,SOFT,9.0,1,1.009,1.0144
2021,Portuguese Grand Prix,Algarve International Circuit,MAZ,Haas F1 Team,9.0,SOFT,2.0,1,1.0351,1.0327
2021,Portuguese Grand Prix,Algarve International Circuit,RAI,Alfa Romeo Racing,11.0,SOFT,2.0,1,1.0174,1.0187
2021,Portuguese Grand Prix,Algarve International Circuit,LAT,Williams,13.0,SOFT,4.0,1,1.0253,1.0247
2021,Portuguese Grand Prix,Algarve International Circuit,VET,Aston Martin,8.0,SOFT,2.0,1,1.0155,1.0167
2021,Portuguese Grand Prix,Algarve International Circuit,NOR,McLaren,12.0,SOFT,4.0,1,1.0115,1.0098
2021,Portuguese Grand Prix,Algarve International Circuit,BOT,Mercedes,9.0,SOFT,2.0,1,1.0043,1.0
2021,Portuguese Grand Prix,Algarve International Circuit,GIO,Alfa Romeo Racing,13.0,SOFT,5.0,1,1.0175,1.0111
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RIC,McLaren,13.0,SOFT,2.0,1,1.0131,1.0115
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RUS,Williams,11.0,SOFT,2.0,1,1.0229,1.0314
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,SAI,Ferrari,9.0,SOFT,2.0,1,1.0064,1.0115
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MSC,Haas F1 Team,13.0,SOFT,6.0,1,1.0276,1.031
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAM,Mercedes,9.0,SOFT,2.0,1,1.0,1.0
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VER,Red Bull Racing,6.0,MEDIUM,6.0,1,1.0079,1.0005
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,OCO,Alpine,9.0,SOFT,2.0,1,1.0038,1.0109
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,TSU,AlphaTauri,13.0,SOFT,5.0,1,1.0057,1.0237
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,STR,Aston Martin,8.0,SOFT,2.0,1,1.0123,1.0161
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LEC,Ferrari,8.0,SOFT,2.0,1,1.0021,1.01
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,ALO,Alpine,10.0,SOFT,2.0,1,1.0045,1.0183
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,PER,Red Bull Racing,10.0,SOFT,2.0,1,1.0096,1.0125
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0054,1.0162
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MAZ,Haas F1 Team,10.0,SOFT,2.0,1,1.033,1.04
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RAI,Alfa Romeo Racing,12.0,SOFT,2.0,1,1.0133,1.0284
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LAT,Williams,11.0,SOFT,4.0,1,1.024,1.0323
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VET,Aston Martin,7.0,SOFT,2.0,1,1.0099,1.0174
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,NOR,McLaren,7.0,SOFT,2.0,1,1.0118,1.0165
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,BOT,Mercedes,8.0,SOFT,2.0,1,1.0018,1.0017
2021,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GIO,Alfa Romeo Racing,12.0,SOFT,2.0,1,1.0122,1.021
2021,Monaco Grand Prix,Circuit de Monaco,RIC,McLaren,22.0,SOFT,10.0,1,1.0219,1.0178
2021,Monaco Grand Prix,Circuit de Monaco,RUS,Williams,20.0,SOFT,13.0,1,1.0255,1.0211
2021,Monaco Grand Prix,Circuit de Monaco,SAI,Ferrari,18.0,SOFT,3.0,1,1.0016,1.0038
2021,Monaco Grand Prix,Circuit de Monaco,MSC,Haas F1 Team,15.0,SOFT,6.0,1,1.0381,
2021,Monaco Grand Prix,Circuit de Monaco,HAM,Mercedes,21.0,SOFT,9.0,1,1.0054,1.0106
2021,Monaco Grand Prix,Circuit de Monaco,VER,Red Bull Racing,15.0,SOFT,3.0,1,1.0055,1.0033
2021,Monaco Grand Prix,Circuit de Monaco,OCO,Alpine,13.0,SOFT,4.0,1,1.0211,1.0162
2021,Monaco Grand Prix,Circuit de Monaco,TSU,AlphaTauri,9.0,MEDIUM,9.0,1,1.0439,1.0249
2021,Monaco Grand Prix,Circuit de Monaco,STR,Aston Martin,16.0,SOFT,4.0,1,1.0211,1.0178
2021,Monaco Grand Prix,Circuit de Monaco,LEC,Ferrari,23.0,SOFT,7.0,1,1.0,1.0
2021,Monaco Grand Prix,Circuit de Monaco,ALO,Alpine,17.0,SOFT,6.0,1,1.0208,1.0264
2021,Monaco Grand Prix,Circuit de Monaco,PER,Red Bull Racing,19.0,SOFT,8.0,1,1.0143,1.0174
2021,Monaco Grand Prix,Circuit de Monaco,GAS,AlphaTauri,18.0,SOFT,9.0,1,1.0114,1.0079
2021,Monaco Grand Prix,Circuit de Monaco,MAZ,Haas F1 Team,17.0,SOFT,7.0,1,1.038,1.0371
2021,Monaco Grand Prix,Circuit de Monaco,RAI,Alfa Romeo Racing,20.0,SOFT,9.0,1,1.0193,1.0184
2021,Monaco Grand Prix,Circuit de Monaco,LAT,Williams,17.0,SOFT,9.0,1,1.0266,1.0287
2021,Monaco Grand Prix,Circuit de Monaco,VET,Aston Martin,15.0,SOFT,4.0,1,1.0181,1.0153
2021,Monaco Grand Prix,Circuit de Monaco,NOR,McLaren,14.0,SOFT,3.0,1,1.0097,1.0039
2021,Monaco Grand Prix,Circuit de Monaco,BOT,Mercedes,15.0,SOFT,4.0,1,1.0059,1.0036
2021,Monaco Grand Prix,Circuit de Monaco,GIO,Alfa Romeo Racing,14.0,SOFT,4.0,1,1.0148,1.0204
2021,Azerbaijan Grand Prix,Baku City Circuit,RIC,McLaren,12.0,SOFT,6.0,1,1.0116,1.0132
2021,Azerbaijan Grand Prix,Baku City Circuit,RUS,Williams,7.0,SOFT,2.0,1,1.0239,1.0152
2021,Azerbaijan Grand Prix,Baku City Circuit,SAI,Ferrari,8.0,SOFT,2.0,1,1.0013,1.0035
2021,Azerbaijan Grand Prix,Baku City Circuit,MSC,Haas F1 Team,6.0,SOFT,2.0,1,1.039,1.029
2021,Azerbaijan Grand Prix,Baku City Circuit,HAM,Mercedes,11.0,SOFT,5.0,2,1.0102,1.0023
2021,Azerbaijan Grand Prix,Baku City Circuit,VER,Red Bull Racing,10.0,SOFT,4.0,2,1.001,1.0034
2021,Azerbaijan Grand Prix,Baku City Circuit,OCO,Alpine,9.0,SOFT,4.0,1,1.0089,1.0104
2021,Azerbaijan Grand Prix,Baku City Circuit,TSU,AlphaTauri,13.0,SOFT,7.0,2,1.0099,1.0098
2021,Azerbaijan Grand Prix,Baku City Circuit,STR,Aston Martin,10.0,SOFT,4.0,2,1.0166,
2021,Azerbaijan Grand Prix,Baku City Circuit,LEC,Ferrari,8.0,SOFT,2.0,1,1.0031,1.0
2021,Azerbaijan Grand Prix,Baku City Circuit,ALO,Alpine,12.0,SOFT,6.0,2,1.0057,1.011
2021,Azerbaijan Grand Prix,Baku City Circuit,PER,Red Bull Racing,10.0,SOFT,4.0,2,1.0,1.0069
2021,Azerbaijan Grand Prix,Baku City Circuit,GAS,AlphaTauri,11.0,SOFT,4.0,2,1.0041,1.0034
2021,Azerbaijan Grand Prix,Baku City Circuit,MAZ,Haas F1 Team,11.0,SOFT,6.0,2,1.0338,1.0298
2021,Azerbaijan Grand Prix,Baku City Circuit,RAI,Alfa Romeo Racing,12.0,SOFT,6.0,2,1.0108,1.0135
2021,Azerbaijan Grand Prix,Baku City Circuit,LAT,Williams,2.0,MEDIUM,2.0,2,1.0477,1.0189
2021,Azerbaijan Grand Prix,Baku City Circuit,VET,Aston Martin,12.0,SOFT,6.0,1,1.0173,1.0099
2021,Azerbaijan Grand Prix,Baku City Circuit,NOR,McLaren,8.0,SOFT,2.0,1,1.0088,1.0052
2021,Azerbaijan Grand Prix,Baku City Circuit,BOT,Mercedes,12.0,SOFT,6.0,1,1.0203,1.0142
2021,Azerbaijan Grand Prix,Baku City Circuit,GIO,Alfa Romeo Racing,8.0,SOFT,2.0,1,1.0081,
2021,French Grand Prix,Circuit Paul Ricard,RIC,McLaren,13.0,SOFT,4.0,1,1.013,1.0155
2021,French Grand Prix,Circuit Paul Ricard,RUS,Williams,10.0,SOFT,5.0,1,1.0258,1.0231
2021,French Grand Prix,Circuit Paul Ricard,SAI,Ferrari,12.0,SOFT,3.0,1,1.0089,1.0094
2021,French Grand Prix,Circuit Paul Ricard,MSC,Haas F1 Team,11.0,SOFT,2.0,1,1.0284,1.0328
2021,French Grand Prix,Circuit Paul Ricard,HAM,Mercedes,8.0,SOFT,2.0,1,1.0027,1.0029
2021,French Grand Prix,Circuit Paul Ricard,VER,Red Bull Racing,8.0,SOFT,2.0,1,1.0,1.0
2021,French Grand Prix,Circuit Paul Ricard,OCO,Alpine,11.0,SOFT,5.0,1,1.0088,1.0194
2021,French Grand Prix,Circuit Paul Ricard,TSU,AlphaTauri,15.0,SOFT,7.0,1,1.0117,
2021,French Grand Prix,Circuit Paul Ricard,STR,Aston Martin,10.0,MEDIUM,4.0,1,1.019,1.4733
2021,French Grand Prix,Circuit Paul Ricard,LEC,Ferrari,13.0,SOFT,6.0,1,1.0073,1.0111
2021,French Grand Prix,Circuit Paul Ricard,ALO,Alpine,13.0,SOFT,5.0,1,1.005,1.015
2021,French Grand Prix,Circuit Paul Ricard,PER,Red Bull Racing,11.0,SOFT,5.0,1,1.0113,1.0051
2021,French Grand Prix,Circuit Paul Ricard,GAS,AlphaTauri,14.0,SOFT,5.0,1,1.0089,1.0098
2021,French Grand Prix,Circuit Paul Ricard,MAZ,Haas F1 Team,10.0,SOFT,2.0,1,1.0288,1.0396
2021,French Grand Prix,Circuit Paul Ricard,RAI,Alfa Romeo Racing,11.0,SOFT,2.0,1,1.0098,1.0374
2021,French Grand Prix,Circuit Paul Ricard,LAT,Williams,7.0,SOFT,2.0,1,1.0265,1.0341
2021,French Grand Prix,Circuit Paul Ricard,VET,Aston Martin,8.0,MEDIUM,2.0,1,1.017,1.0197
2021,French Grand Prix,Circuit Paul Ricard,NOR,McLaren,12.0,SOFT,5.0,1,1.0102,1.014
2021,French Grand Prix,Circuit Paul Ricard,BOT,Mercedes,2.0,MEDIUM,2.0,1,1.0001,1.0043
2021,French Grand Prix,Circuit Paul Ricard,GIO,Alfa Romeo Racing,13.0,SOFT,5.0,1,1.0103,1.0203
2021,Styrian Grand Prix,Red Bull Ring,RIC,McLaren,11.0,SOFT,2.0,1,1.0051,1.0151
2021,Styrian Grand Prix,Red Bull Ring,RUS,Williams,15.0,SOFT,15.0,2,1.0186,1.013
2021,Styrian Grand Prix,Red Bull Ring,SAI,Ferrari,14.0,SOFT,6.0,1,1.0112,1.015
2021,Styrian Grand Prix,Red Bull Ring,MSC,Haas F1 Team,9.0,SOFT,2.0,1,1.0225,1.0345
2021,Styrian Grand Prix,Red Bull Ring,HAM,Mercedes,10.0,SOFT,2.0,1,1.0059,1.0035
2021,Styrian Grand Prix,Red Bull Ring,VER,Red Bull Racing,13.0,SOFT,2.0,1,1.0,1.0
2021,Styrian Grand Prix,Red Bull Ring,OCO,Alpine,9.0,SOFT,2.0,1,1.0058,1.0216
2021,Styrian Grand Prix,Red Bull Ring,TSU,AlphaTauri,13.0,SOFT,2.0,2,1.0159,1.0105
2021,Styrian Grand Prix,Red Bull Ring,STR,Aston Martin,7.0,SOFT,2.0,1,1.0102,1.0136
2021,Styrian Grand Prix,Red Bull Ring,LEC,Ferrari,15.0,SOFT,7.0,1,1.0131,1.0099
2021,Styrian Grand Prix,Red Bull Ring,ALO,Alpine,11.0,SOFT,2.0,2,1.0063,1.0115
2021,Styrian Grand Prix,Red Bull Ring,PER,Red Bull Racing,15.0,SOFT,5.0,1,1.0103,1.0051
2021,Styrian Grand Prix,Red Bull Ring,MAZ,Haas F1 Team,11.0,SOFT,4.0,1,1.0305,1.0368
2021,Styrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo Racing,20.0,SOFT,9.0,1,1.0135,1.0249
2021,Styrian Grand Prix,Red Bull Ring,LAT,Williams,4.0,MEDIUM,4.0,1,1.0345,1.0209
2021,Styrian Grand Prix,Red Bull Ring,VET,Aston Martin,9.0,SOFT,2.0,1,1.008,1.0162
2021,Styrian Grand Prix,Red Bull Ring,NOR,McLaren,9.0,SOFT,2.0,1,1.0089,1.0044
2021,Styrian Grand Prix,Red Bull Ring,BOT,Mercedes,2.0,SOFT,2.0,1,1.0128,1.003
2021,Styrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo Racing,18.0,SOFT,8.0,1,1.0112,1.0168
2021,Austrian Grand Prix,Red Bull Ring,RIC,McLaren,15.0,SOFT,3.0,1,1.0182,1.0157
